Date,Indice,Value
2024-12-30,IEIF Immobilier France,71.12454771091322
2024-12-31,IEIF Immobilier France,71.49628558930618
2025-01-02,IEIF Immobilier France,72.1293289310448
2025-01-03,IEIF Immobilier France,72.03969747538797
2025-01-06,IEIF Immobilier France,72.1914982545846
2025-01-07,IEIF Immobilier France,72.3100174987564
2025-01-08,IEIF Immobilier France,72.00152264644646
2025-01-09,IEIF Immobilier France,72.08547742702595
2024-12-30,IEIF Europe Continentale,76.79731960407968
2024-12-31,IEIF Europe Continentale,77.00715361196121
2025-01-02,IEIF Europe Continentale,77.46402819605042
2025-01-03,IEIF Europe Continentale,77.07496565226683
2025-01-06,IEIF Europe Continentale,76.66331050329403
2025-01-07,IEIF Europe Continentale,76.21589478117666
2025-01-08,IEIF Europe Continentale,75.44957936727444
2025-01-09,IEIF Europe Continentale,75.65398233704052
2024-12-30,Actions américaines,197.12183672285985
2024-12-31,Actions américaines,196.40470434422355
2025-01-02,Actions américaines,195.92213669900045
2025-01-03,Actions américaines,198.37183275992675
2025-01-06,Actions américaines,199.51456881600137
2025-01-07,Actions américaines,197.25924567638882
2025-01-08,Actions américaines,197.54744040029817
2025-01-10,Actions américaines,194.53139773111596
2024-12-30,Actions américaines croissance,250.05917173775464
2024-12-31,Actions américaines croissance,247.93498331410277
2025-01-02,Actions américaines croissance,247.45000594973453
2025-01-03,Actions américaines croissance,251.49956990227636
2025-01-06,Actions américaines croissance,254.39001604948282
2025-01-07,Actions américaines croissance,249.8506350231566
2025-01-08,Actions américaines croissance,249.8942960102442
2025-01-10,Actions américaines croissance,245.97567061796136
2024-12-30,Actions zone euro,136.02731381419352
2024-12-31,Actions zone euro,135.94261781295626
2025-01-02,Actions zone euro,134.55918876222782
2025-01-03,Actions zone euro,135.34971349402022
2025-01-06,Actions zone euro,138.8223895559405
2025-01-07,Actions zone euro,139.24589110231028
2025-01-08,Actions zone euro,138.6247583729924
2025-01-10,Actions zone euro,137.46719968568564
2024-12-30,Actions émergentes,104.27808394094326
2024-12-31,Actions émergentes,103.93016047993339
2025-01-02,Actions émergentes,103.78104636227062
2025-01-03,Actions émergentes,104.75027390677376
2025-01-06,Actions émergentes,105.12304498062579
2025-01-07,Actions émergentes,104.37749335271845
2025-01-08,Actions émergentes,103.88045577404581
2025-01-10,Actions émergentes,102.11598137595101
