id,id_investment,vdate,unitvalue,original_currency,original_unitvalue,isin,id_user,investment_id
7,8,2024-07-11,5.2838,"{'id': 'EUR', 'symbol': '€', 'prefix': False, 'crypto': False, 'precision': 2, 'marketcap': None, 'datetime': None, 'name': 'Euro'}",,IE000RHYOR04,5,8
14,8,2024-07-12,5.2864,"{'id': 'EUR', 'symbol': '€', 'prefix': False, 'crypto': False, 'precision': 2, 'marketcap': None, 'datetime': None, 'name': 'Euro'}",,IE000RHYOR04,5,8
21,8,2024-07-15,5.285,"{'id': 'EUR', 'symbol': '€', 'prefix': False, 'crypto': False, 'precision': 2, 'marketcap': None, 'datetime': None, 'name': 'Euro'}",,IE000RHYOR04,5,8
28,8,2024-07-16,5.2842,"{'id': 'EUR', 'symbol': '€', 'prefix': False, 'crypto': False, 'precision': 2, 'marketcap': None, 'datetime': None, 'name': 'Euro'}",,IE000RHYOR04,5,8
35,8,2024-07-17,5.285,"{'id': 'EUR', 'symbol': '€', 'prefix': False, 'crypto': False, 'precision': 2, 'marketcap': None, 'datetime': None, 'name': 'Euro'}",,IE000RHYOR04,5,8
63,8,2024-07-18,5.287,"{'id': 'EUR', 'symbol': '€', 'prefix': False, 'crypto': False, 'precision': 2, 'marketcap': None, 'datetime': None, 'name': 'Euro'}",,IE000RHYOR04,5,8
70,8,2024-07-19,5.2892,"{'id': 'EUR', 'symbol': '€', 'prefix': False, 'crypto': False, 'precision': 2, 'marketcap': None, 'datetime': None, 'name': 'Euro'}",,IE000RHYOR04,5,8
74,8,2024-07-20,5.2892,"{'id': 'EUR', 'symbol': '€', 'prefix': False, 'crypto': False, 'precision': 2, 'marketcap': None, 'datetime': None, 'name': 'Euro'}",,IE000RHYOR04,5,8
80,8,2024-07-22,5.2882,"{'id': 'EUR', 'symbol': '€', 'prefix': False, 'crypto': False, 'precision': 2, 'marketcap': None, 'datetime': None, 'name': 'Euro'}",,IE000RHYOR04,5,8
87,8,2024-07-23,5.2874,"{'id': 'EUR', 'symbol': '€', 'prefix': False, 'crypto': False, 'precision': 2, 'marketcap': None, 'datetime': None, 'name': 'Euro'}",,IE000RHYOR04,5,8
94,8,2024-07-24,5.2906,"{'id': 'EUR', 'symbol': '€', 'prefix': False, 'crypto': False, 'precision': 2, 'marketcap': None, 'datetime': None, 'name': 'Euro'}",,IE000RHYOR04,5,8
100,8,2024-07-25,5.291,"{'id': 'EUR', 'symbol': '€', 'prefix': False, 'crypto': False, 'precision': 2, 'marketcap': None, 'datetime': None, 'name': 'Euro'}",,IE000RHYOR04,5,8
106,8,2024-07-26,5.2942,"{'id': 'EUR', 'symbol': '€', 'prefix': False, 'crypto': False, 'precision': 2, 'marketcap': None, 'datetime': None, 'name': 'Euro'}",,IE000RHYOR04,5,8
112,8,2024-07-29,5.295,"{'id': 'EUR', 'symbol': '€', 'prefix': False, 'crypto': False, 'precision': 2, 'marketcap': None, 'datetime': None, 'name': 'Euro'}",,IE000RHYOR04,5,8
118,8,2024-07-30,5.2964,"{'id': 'EUR', 'symbol': '€', 'prefix': False, 'crypto': False, 'precision': 2, 'marketcap': None, 'datetime': None, 'name': 'Euro'}",,IE000RHYOR04,5,8
124,8,2024-07-31,5.295,"{'id': 'EUR', 'symbol': '€', 'prefix': False, 'crypto': False, 'precision': 2, 'marketcap': None, 'datetime': None, 'name': 'Euro'}",,IE000RHYOR04,5,8
130,8,2024-08-01,5.298,"{'id': 'EUR', 'symbol': '€', 'prefix': False, 'crypto': False, 'precision': 2, 'marketcap': None, 'datetime': None, 'name': 'Euro'}",,IE000RHYOR04,5,8
136,8,2024-08-02,5.296,"{'id': 'EUR', 'symbol': '€', 'prefix': False, 'crypto': False, 'precision': 2, 'marketcap': None, 'datetime': None, 'name': 'Euro'}",,IE000RHYOR04,5,8
142,8,2024-08-05,5.2926,"{'id': 'EUR', 'symbol': '€', 'prefix': False, 'crypto': False, 'precision': 2, 'marketcap': None, 'datetime': None, 'name': 'Euro'}",,IE000RHYOR04,5,8
148,8,2024-08-06,5.2956,"{'id': 'EUR', 'symbol': '€', 'prefix': False, 'crypto': False, 'precision': 2, 'marketcap': None, 'datetime': None, 'name': 'Euro'}",,IE000RHYOR04,5,8
154,8,2024-08-07,5.2952,"{'id': 'EUR', 'symbol': '€', 'prefix': False, 'crypto': False, 'precision': 2, 'marketcap': None, 'datetime': None, 'name': 'Euro'}",,IE000RHYOR04,5,8
160,8,2024-08-08,5.2994,"{'id': 'EUR', 'symbol': '€', 'prefix': False, 'crypto': False, 'precision': 2, 'marketcap': None, 'datetime': None, 'name': 'Euro'}",,IE000RHYOR04,5,8
